Age,Country/Area,Gender,Region,Year,Change,Foreigners Entries
45 - 49,Pakistan,Male,Asia,2013,,"2,082"
45 - 49,Pakistan,Male,Asia,2014,0.037944284,"2,161"
45 - 49,Pakistan,Male,Asia,2015,-0.006941231,"2,146"
45 - 49,Pakistan,Male,Asia,2016,0.013979497,"2,176"
45 - 49,Pakistan,Male,Asia,2017,0,"2,176"
45 - 49,Pakistan,Male,Asia,2018,0.030330882,"2,242"
45 - 49,Pakistan,Male,Asia,2019,-0.027653880,"2,180"
45 - 49,Pakistan,Male,Asia,2020,-0.65,763
45 - 49,Pakistan,Male,Asia,2021,-0.264744430,561
45 - 49,Pakistan,Male,Asia,2022,1.069518717,"1,161"
45 - 49,Pakistan,Male,Asia,2023,0.634797588,"1,898"
45 - 49,Pakistan,Male,Asia,2024,0.099578504,"2,087"
50 - 54,Pakistan,Male,Asia,2013,,"1,130"
50 - 54,Pakistan,Male,Asia,2014,0.201769912,"1,358"
50 - 54,Pakistan,Male,Asia,2015,0.231958763,"1,673"
50 - 54,Pakistan,Male,Asia,2016,0.111177525,"1,859"
50 - 54,Pakistan,Male,Asia,2017,0.154922001,"2,147"
50 - 54,Pakistan,Male,Asia,2018,0.053097345,"2,261"
50 - 54,Pakistan,Male,Asia,2019,-0.060150376,"2,125"
50 - 54,Pakistan,Male,Asia,2020,-0.624941176,797
50 - 54,Pakistan,Male,Asia,2021,-0.227101631,616
50 - 54,Pakistan,Male,Asia,2022,0.863636364,"1,148"
50 - 54,Pakistan,Male,Asia,2023,0.413763066,"1,623"
50 - 54,Pakistan,Male,Asia,2024,0.047443007,"1,700"
50 - 59,Pakistan,Male,Asia,2013,,"1,629"
50 - 59,Pakistan,Male,Asia,2014,0.198281154,"1,952"
50 - 59,Pakistan,Male,Asia,2015,0.224385246,"2,390"
50 - 59,Pakistan,Male,Asia,2016,0.158577406,"2,769"
50 - 59,Pakistan,Male,Asia,2017,0.142289635,"3,163"
50 - 59,Pakistan,Male,Asia,2018,0.071767310,"3,390"
50 - 59,Pakistan,Male,Asia,2019,-0.021533923,"3,317"
50 - 59,Pakistan,Male,Asia,2020,-0.604160386,"1,313"
50 - 59,Pakistan,Male,Asia,2021,-0.188880427,"1,065"
50 - 59,Pakistan,Male,Asia,2022,0.968075117,"2,096"
50 - 59,Pakistan,Male,Asia,2023,0.459446565,"3,059"
50 - 59,Pakistan,Male,Asia,2024,0.047401111,"3,204"
55 - 59,Pakistan,Male,Asia,2013,,499
55 - 59,Pakistan,Male,Asia,2014,0.190380762,594
55 - 59,Pakistan,Male,Asia,2015,0.207070707,717
55 - 59,Pakistan,Male,Asia,2016,0.269177127,910
55 - 59,Pakistan,Male,Asia,2017,0.116483516,"1,016"
55 - 59,Pakistan,Male,Asia,2018,0.111220472,"1,129"
55 - 59,Pakistan,Male,Asia,2019,0.055801594,"1,192"
55 - 59,Pakistan,Male,Asia,2020,-0.567114094,516
55 - 59,Pakistan,Male,Asia,2021,-0.129844961,449
55 - 59,Pakistan,Male,Asia,2022,1.111358575,948
55 - 59,Pakistan,Male,Asia,2023,0.514767932,"1,436"
55 - 59,Pakistan,Male,Asia,2024,0.047353760,"1,504"
60 - 64,Pakistan,Male,Asia,2013,,163
60 - 64,Pakistan,Male,Asia,2014,0.208588957,197
60 - 64,Pakistan,Male,Asia,2015,0.101522843,217
60 - 64,Pakistan,Male,Asia,2016,0.451612903,315
